Plik,Provider,Model,Protocol,Architecture,Temperature,Tokens/Turn,Total Flips,Distinct-1,Semantic Diversity,Final Answer
debate_20260531_172251.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.3,100.0,0,0.0873,0.0816,"Niektórzy użytkownicy zgadzają się, że ban pineapple na pizza jest klasycznym elementem. Jednakże, p..."
debate_20260531_172933.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.3,100.0,0,0.1489,0.2404,"[Runda 1] Speaker_1: [SYSTEM]: Speaker 1: Good evening, everyone. I am Speaker 1, and I am here to d..."
debate_20260531_173637.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.3,100.0,0,0.1478,0.0377,[Round 1] Speaker 1: [Speaker 1] Nie chcesz uczestniczyć w tej debaty?  Speaker 2: [Interrupting] Ni...
debate_20260601_120521.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,round_robin,0.5,203.2,2,0.0966,0.1033,"""Dodanie ananasa do pizzy może naruszać standardy i prawo kulinarne, ale UE powinna promować autenty..."
debate_20260601_121723.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,round_robin,0.5,251.7,1,0.1061,0.1003,"""UE powinna dążyć do ochrony autentyczności pizzy poprzez wprowadzenie surowych przepisów dotyczącyc..."
debate_20260601_122758.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,relay,0.5,233.2,2,0.1192,0.0365,"UE może rozważyć wprowadzenie wyjątku dla niewielkiej ilości ananasa w pizzy neapolitańskiej, jako e..."
debate_20260601_123943.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,relay,0.5,264.8,2,0.1408,0.0959,Czy dodawanie ananasa do pizzy neapolitańskiej jest szkodliwe dla jej autentyczności i czy UE powinn...
debate_20260601_125318.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,round_robin,0.5,291.4,2,0.0758,0.0532,"**UE powinna promować innowacje kulinarne, dbając o zachowanie autentyczności włoskich tradycji, w t..."
debate_20260601_130606.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,round_robin,0.5,289.5,0,0.0981,0.1176,**Wspólne stanowisko:**  Dodanie ananasa do pizzy nie stanowi bezpośredniego zagrożenia dla autentyc...
debate_20260601_131413.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,relay,0.5,187.2,0,0.1678,0.0901,"Aby pogodzić różne perspektywy w tej debacie, proponujemy stanowisko, że dodawanie ananasa do pizzy ..."
debate_20260601_132803.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,relay,0.5,295.3,4,0.127,0.2617,"Ananas w pizzy to część ewolucji tej potrawy, łącząca wpływy globalne z autentycznym włoskim dziedzi..."
